"premium","picture","title","url"
"False","True","Covid-19 : l'Académie de médecine en faveur d'une obligation vaccinale, passe vaccinal devant le Sénat, record de cas en Argentine","https://www.lefigaro.fr/sciences/covid-19-l-academie-de-medecine-en-faveur-d-une-obligation-vaccinale-passe-vaccinal-devant-le-senat-record-de-cas-en-argentine-20220112"
"False","False","LA VÉRIFICATION - Pourrait-on vraiment poursuivre pénalement les non-vaccinés qui transmettent le Covid-19 ?","https://www.lefigaro.fr/actualite-france/pourrait-on-vraiment-poursuivre-penalement-les-non-vaccines-qui-transmettent-le-covid-19-20220111"
"False","False","Covid-19: le Sénat tente de limiter le passe vaccinal dans le temps","https://www.lefigaro.fr/politique/covid-19-le-senat-tente-de-limiter-le-passe-vaccinal-dans-le-temps-20220111"
"False","False","LA VÉRIFICATION - Covid-19 : la France est-elle «le deuxième pays» qui teste le plus, comme l'affirme Jean Castex ?","https://www.lefigaro.fr/sciences/covid-19-la-france-est-elle-le-deuxieme-pays-qui-teste-le-plus-comme-l-affirme-jean-castex-20220111"
"False","False","Covid-19 : 60% des Français pouvant télétravailler l'ont fait la semaine dernière, un chiffre trop faible pour le gouvernement","https://www.lefigaro.fr/social/covid-pas-de-boom-du-teletravail-debut-janvier-au-grand-dam-du-gouvernement-20220111"
"False","True","Les soldes débutent malgré Omicron et l'essor du télétravail","https://www.lefigaro.fr/societes/les-soldes-debutent-malgre-omicron-et-l-essor-du-teletravail-20220112"
"True","True","Le palmarès des villes les moins stressantes de France","https://www.lefigaro.fr/actualite-france/le-palmares-des-villes-les-moins-stressantes-de-france-20220111"
"False","True","Bordeaux : disparition inquiétante d'une jeune fille de 16 ans","https://www.lefigaro.fr/faits-divers/bordeaux-disparition-inquietante-d-une-jeune-fille-de-16-ans-20220112"
"False","False","Sport, école, colos : les victimes de violences sexuelles appelées à témoigner","https://www.lefigaro.fr/actualite-france/sport-ecole-colos-les-victimes-de-violences-sexuelles-appelees-a-temoigner-20220112"
"True","True","Comment Airbus a pris le dessus sur son concurrent Boeing","https://www.lefigaro.fr/societes/comment-airbus-a-pris-le-dessus-sur-son-concurrent-boeing-20220111"
"False","False","DÉCRYPTAGE - La Chine plus que jamais décidée à casser le duopole Airbus-Boeing","https://www.lefigaro.fr/conjoncture/la-chine-plus-que-jamais-decidee-a-casser-le-duopole-airbus-boeing-20220111"
"False","True","Le Québec va taxer les non-vaccinés","https://www.lefigaro.fr/international/le-quebec-va-taxer-les-non-vaccines-20220111"
"True","True","Squatteurs: pourquoi le fléau persiste malgré la nouvelle loi","https://www.lefigaro.fr/actualite-france/squatteurs-pourquoi-le-fleau-persiste-malgre-la-nouvelle-loi-20220111"
"False","False","STORY - Son entreprise squattée par 250 Roms, il accuse l’État d’abandonner les propriétaires","https://amp.lefigaro.fr/story/son-entreprise-squattee-par-250-roms-il-accuse-letat-dabandonner-les-proprietaires-14751"
"False","False","TÉMOIGNAGES - Vandalisme, menaces de mort… Ces vies gâchées par des «voleurs de logements» sans scrupule","https://www.lefigaro.fr/actualite-france/vandalisme-menaces-de-mort-ces-vies-gachees-par-des-voleurs-de-logements-sans-scrupule-20220111"
"False","False","Lille : un jeune homme condamné à 10 ans de prison pour viol","https://www.lefigaro.fr/faits-divers/lille-un-jeune-homme-condamne-a-10-ans-de-prison-pour-viol-20220112"
"True","True","Les droits de succession sont-ils aussi faibles que ce que laisse entendre Jean-Luc Mélenchon ?","https://www.lefigaro.fr/impots/les-droits-de-succession-sont-ils-aussi-faibles-que-ce-que-laisse-entendre-jean-luc-melenchon-20220111"
"False","False","Présidentielle 2022 : Ruffin s'engage avec Mélenchon et veut représenter «la France périphérique»","https://www.lefigaro.fr/elections/presidentielles/presidentielle-2022-ruffin-s-engage-avec-melenchon-et-veut-representer-la-france-peripherique-20220112"
"False","False","Présidentielle 2022 : Macron en forte baisse au premier tour et à égalité avec Pécresse au second, selon un sondage","https://www.lefigaro.fr/elections/presidentielles/presidentielle-2022-macron-en-forte-baisse-au-premier-tour-et-a-egalite-avec-pecresse-au-second-selon-un-sondage-20220112"
"False","False","Présidentielle 2022 : Pécresse dit «bas les masques» à Macron, le «président-candidat»","https://www.lefigaro.fr/politique/presidentielle-2022-pecresse-dit-bas-les-masques-a-macron-le-president-candidat-20220112"
"False","False","Au PS : le courant majoritaire se dit favorable à une participation à la Primaire populaire de fin janvier","https://www.lefigaro.fr/elections/presidentielles/au-ps-le-courant-majoritaire-se-dit-favorable-a-une-participation-a-la-primaire-populaire-de-fin-janvier-20220112"
"True","True","Parrainages, succession, Pécresse... Ce qu'il faut retenir de la première grande soirée du «Club Le Figaro présidentielle»","https://www.lefigaro.fr/elections/presidentielles/parrainages-succession-pecresse-ce-qu-il-faut-retenir-de-la-premiere-grande-soiree-du-club-le-figaro-presidentielle-20220111"
"False","True","Covid-19 à l'école : où sont passés les tests salivaires ?","https://www.lefigaro.fr/sciences/covid-19-a-l-ecole-ou-sont-passes-les-tests-salivaires-20220112"
"False","True","Éducation : 75% de grévistes et la moitié des écoles fermées jeudi, prévoit le 1er syndicat","https://www.lefigaro.fr/actualite-france/education-75-de-grevistes-et-la-moitie-des-ecoles-fermees-jeudi-prevoit-le-1er-syndicat-20220111"
"False","False","DÉCRYPTAGE - Profs absents, tests en série… L’école au bord de la crise de nerfs","https://www.lefigaro.fr/actualite-france/profs-absents-tests-en-serie-l-ecole-au-bord-de-la-crise-de-nerfs-20220111"
"False","False","Blanquer aux enseignants : «On ne fait pas une grève contre un virus»","https://www.lefigaro.fr/demain/sante/blanquer-aux-enseignants-on-ne-fait-pas-une-greve-contre-un-virus-20220111"
"False","False","«Fiasco», «chaos» : Jean-Michel Blanquer chahuté sur le protocole sanitaire à l'école","https://www.lefigaro.fr/politique/fiasco-chaos-jean-michel-blanquer-chahute-sur-le-protocole-sanitaire-a-l-ecole-20220111"
"False","False","EDF: nouveau retard pour l'EPR de Flamanville dont le démarrage est reporté à 2023","https://www.lefigaro.fr/societes/edf-nouveau-retard-pour-l-epr-de-flamanville-dont-le-demarrage-est-reporte-a-2023-20220112"
"False","False","Alcool, tabac, cannabis : la pandémie accélère la chute des usages chez les élèves de troisième","https://www.lefigaro.fr/flash-actu/alcool-tabac-cannabis-la-pandemie-accelere-la-chute-des-usages-chez-les-eleves-de-troisieme-20220112"
"False","False","En Irak, les archéologues européens reprennent brosses et truelles","https://www.lefigaro.fr/culture/en-irak-les-archeologues-europeens-reprennent-brosses-et-truelles-20220112"
"False","False","Gérald Darmanin ferme une mosquée à Cannes","https://www.lefigaro.fr/actualite-france/gerald-darmanin-ferme-une-mosquee-a-cannes-20220112"
"False","False","Présidentielle 2022 : Pécresse dit «bas les masques» à Macron, le «président-candidat»","https://www.lefigaro.fr/politique/presidentielle-2022-pecresse-dit-bas-les-masques-a-macron-le-president-candidat-20220112"
"False","False","Au PS : le courant majoritaire se dit favorable à une participation à la Primaire populaire de fin janvier","https://www.lefigaro.fr/elections/presidentielles/au-ps-le-courant-majoritaire-se-dit-favorable-a-une-participation-a-la-primaire-populaire-de-fin-janvier-20220112"
"False","False","PSG : Pochettino rêve toujours de Manchester United, Paris de Zidane","https://www.lefigaro.fr/sports/football/ligue-1/psg-pochettino-reve-toujours-de-manchester-united-paris-de-zidane-20220112"
"False","False","Lille : un jeune homme condamné à 10 ans de prison pour viol","https://www.lefigaro.fr/faits-divers/lille-un-jeune-homme-condamne-a-10-ans-de-prison-pour-viol-20220112"
"False","False","En pharmacies comme dans la grande distribution, les ventes d'autotests ont atteint des sommets","https://www.lefigaro.fr/conjoncture/en-pharmacies-comme-dans-la-grande-distribution-les-ventes-d-autotests-ont-atteint-des-sommets-20220112"
"False","False","Renault sous la menace d'une action collective contre des défaillances de moteurs","https://www.lefigaro.fr/societes/renault-sous-la-menace-d-une-action-collective-contre-des-defaillances-de-moteurs-20220112"
"False","False","Sport, école, colos : les victimes de violences sexuelles appelées à témoigner","https://www.lefigaro.fr/actualite-france/sport-ecole-colos-les-victimes-de-violences-sexuelles-appelees-a-temoigner-20220112"
"False","False","Présidentielle 2022 : Macron en forte baisse au premier tour et à égalité avec Pécresse au second, selon un sondage","https://www.lefigaro.fr/elections/presidentielles/presidentielle-2022-macron-en-forte-baisse-au-premier-tour-et-a-egalite-avec-pecresse-au-second-selon-un-sondage-20220112"
"False","False","Bordeaux : disparition inquiétante d'une jeune fille de 16 ans","https://www.lefigaro.fr/faits-divers/bordeaux-disparition-inquietante-d-une-jeune-fille-de-16-ans-20220112"
"False","False","Grève des porteurs : retrouvez votre journal en version numérique","https://www.lefigaro.fr/medias/greve-des-porteurs-retrouvez-votre-journal-en-version-numerique-20220112"
"False","False","Taïwan a retrouvé l'épave de son F16 abîmé en mer","https://www.lefigaro.fr/flash-actu/taiwan-a-retrouve-l-epave-de-son-f16-abime-en-mer-20220112"
"False","False","Covid-19 : l'Académie de médecine en faveur d'une obligation vaccinale, passe vaccinal devant le Sénat, record de cas en Argentine","https://www.lefigaro.fr/sciences/covid-19-l-academie-de-medecine-en-faveur-d-une-obligation-vaccinale-passe-vaccinal-devant-le-senat-record-de-cas-en-argentine-20220112"
"False","False","Les soldes débutent malgré Omicron et l'essor du télétravail","https://www.lefigaro.fr/societes/les-soldes-debutent-malgre-omicron-et-l-essor-du-teletravail-20220112"
"False","False","Foot : Evra aimerait voir «déraper» un Mbappé qu'il juge «trop clean»","https://www.lefigaro.fr/sports/football/equipe-de-france/foot-evra-aimerait-voir-deraper-un-mbappe-trop-clean-20220112"
"False","False","Djokovic admet avoir commis des «erreurs» en remplissant son formulaire d'entrée en Australie et dans son comportement","https://www.lefigaro.fr/sports/tennis/open-australie/affaire-djokovic-le-serbe-admet-avoir-commis-des-erreurs-en-remplissant-son-formulaire-d-entree-en-australie-20220112"
"False","False","Hongkong va présenter une loi sur de nouvelles infractions à la «sécurité nationale»","https://www.lefigaro.fr/flash-actu/hongkong-va-presenter-une-loi-sur-de-nouvelles-infractions-a-la-securite-nationale-20220112"
"False","False","Anthony Fauci: après Omicron, les États-Unis pourraient arriver à «vivre avec» le virus","https://www.lefigaro.fr/flash-actu/anthony-fauci-apres-omicron-les-etats-unis-pourraient-arriver-a-vivre-avec-le-virus-20220112"
"False","False","Passe vaccinal: le Sénat refuse la vérification d'identité par les cafetiers et restaurateurs","https://www.lefigaro.fr/flash-eco/passe-vaccinal-le-senat-refuse-la-verification-d-identite-par-les-cafetiers-et-restaurateurs-20220112"
"False","False","Mali: «Wagner est là pour soutenir la junte», accuse Paris","https://www.lefigaro.fr/flash-actu/mali-wagner-est-la-pour-soutenir-la-junte-accuse-paris-20220112"
