"premium","picture","title","url"
"False","True","A quoi faut-il s'attendre pour la grève des enseignants de ce jeudi?","https://www.bfmtv.com/societe/a-quoi-faut-il-s-attendre-pour-la-greve-des-enseignants-de-ce-jeudi_AN-202201120233.html"
"False","True","Face au protocole sanitaire à l'école, le quotidien infernal des directeurs d'établissements","https://www.bfmtv.com/sante/face-au-protocole-sanitaire-a-l-ecole-le-quotidien-infernal-des-directeurs-d-etablissements_AV-202201120220.html"
"False","True","Covid-19 à l'école: nos voisins testent-ils autant leurs écoliers?","https://www.bfmtv.com/societe/education/covid-19-a-l-ecole-nos-voisins-testent-ils-autant-leurs-ecoliers_AN-202201110501.html"
"False","True","EN DIRECT - Gabriel Attal: ""L'objectif est de vivre le plus normalement possible avec le virus""","https://www.bfmtv.com/sante/en-direct-flambee-d-omicron-greve-a-l-ecole-suivez-l-actualite-de-l-epidemie-de-covid-19-minute-par-minute_LN-202201120110.html"
"False","True","De chouchou à cancre du gouvernement, la descente aux enfers de Jean-Michel Blanquer","https://www.bfmtv.com/politique/elections/presidentielle/de-chouchou-a-cancre-du-gouvernement-la-descente-aux-enfers-de-jean-michel-blanquer_AV-202201120273.html"
"False","True","Comment savoir si son pass sanitaire va être désactivé ce samedi 15 janvier?","https://www.bfmtv.com/tech/comment-savoir-si-son-pass-sanitaire-va-etre-desactive-ce-samedi-15-janvier_AN-202201120239.html"
"False","True","Covid-19: selon Véran, les contaminations réelles se situent entre 500.000 et un million par jour","https://www.bfmtv.com/sante/covid-19-selon-veran-les-contaminations-reelles-se-situent-entre-500-000-et-un-million-de-cas-par-jour_AN-202201120175.html"
"False","False","Covid-19: 368.149 contaminations détectées en 24 heures, un nouveau record","https://www.bfmtv.com/sante/covid-19-368-149-contaminations-detectees-en-24-heures-un-nouveau-record_AN-202201110460.html"
"False","True","Comment la primaire à gauche tourne à la guerre d'ego entre Anne Hidalgo et Christiane Taubira","https://www.bfmtv.com/politique/elections/presidentielle/comment-la-primaire-a-gauche-tourne-a-la-guerre-d-ego-entre-anne-hidalgo-et-christiane-taubira_AN-202201120326.html"
"False","True","SONDAGE BFMTV - Macron en forte baisse au premier tour, à égalité avec Pécresse au second tour","https://www.bfmtv.com/politique/elections/presidentielle/sondage-bfmtv-macron-en-forte-baisse-au-premier-tour-a-egalite-avec-pecresse-au-second-tour_AN-202201120012.html"
"False","True","Après la percée automnale, la campagne Zemmour en panne","https://www.bfmtv.com/politique/elections/presidentielle/apres-la-percee-automnale-la-campagne-zemmour-en-panne_AV-202201120071.html"
"False","True","Boris Johnson reconnait sa participation à une fête durant le confinement et présente ses ""excuses""","https://www.bfmtv.com/international/europe/angleterre/boris-johnson-reconnait-sa-participation-a-une-fete-durant-le-confinement-et-presente-ses-excuses_AD-202201120305.html"
"False","True","La perspective, c'est qu'au mois de février, le nombre de contaminations baisse considérablement. Arnaud Fontanet","https://www.bfmtv.com/sante/omicron-arnaud-fontanet-prevoit-un-pic-mi-janvier-et-une-baisse-sensible-des-infections-en-fevrier_AV-202201100172.html"
"False","True","Royaume-Uni: le staff de Johnson prié de ""nettoyer"" les téléphones après une fête en…","https://www.bfmtv.com/international/europe/angleterre/royaume-uni-le-staff-de-johnson-prie-de-nettoyer-les-telephones-apres-une-fete-en-plein-confinement_AN-202201120309.html"
"False","True","Tuerie de Chevaline: un homme en garde à vue","https://www.bfmtv.com/police-justice/tuerie-de-chevaline-un-homme-en-garde-a-vue_AN-202201120222.html"
