"premium","picture","title","url"
"False","True","Avec la réélection de Macron, la « start-up nation » rêve de son propre ministère","https://www.20minutes.fr/high-tech/3279023-20220428-numerique-reelection-macron-start-up-nation-reve-propre-ministere"
"False","True","La condamnation pour outrage confirmée en appel","https://www.20minutes.fr/justice/3279715-20220428-darmanin-traite-violeur-condamnation-outrage-confirmee-appel"
"False","True","Pas de nouveau gouvernement avant au moins une semaine...","https://www.20minutes.fr/elections/3279259-20220428-presidentielle-2022-direct-coalition-entre-ps-lfi-legislatives-soumission-assure-olivier-faure"
"False","True","Suivez le nouvel épisode de « Les croisés, tu connais »","https://www.20minutes.fr/sport/3279719-20220428-twitch-suivez-nouvel-episode-croises-connais-talk-sport-20-minutes-jeudi-17-heures"
"False","True","Sur YouTube, le duo de la chaîne Vilebrequin casse des voitures pour casser Internet","https://www.20minutes.fr/arts-stars/web/3278851-20220428-youtube-duo-chaine-vilebrequin-casse-voitures-casser-internet"
"False","True","Dix soldats russes inculpés pour des crimes présumés à Boutcha...","https://www.20minutes.fr/monde/3279251-20220428-guerre-ukraine-direct-secretaire-general-onu-antonio-guterres-attendu-jeudi-boutcha"
"False","True","Piste du féminicide suivi d’un suicide pour le couple retrouvé mort","https://www.20minutes.fr/faits_divers/3279483-20220428-haute-garonne-piste-feminicide-suivi-suicide-couple-anglais-retrouve-mort"
"False","True","L'Espagne disqualifiée pour avoir aligné un joueur inéligible","https://www.20minutes.fr/sport/3279647-20220428-coupe-monde-rugby-2023-espagne-disqualifiee-avoir-aligne-joueur-ineligible"
"False","True","Distancé par le surf, le bodyboard peine à retrouver la vague des années 1990","https://www.20minutes.fr/sport/3279047-20220428-ombre-surf-tres-populaire-bodyboard-mal-refaire-surface"
"False","True","Plus de 1200 votes annulés lors de la présidentielle à Francheville","https://www.20minutes.fr/politique/3279583-20220428-plus-1200-votes-annules-lors-second-tour-presidentielle-francheville-pres-lyon"
"False","True","Avec la réélection de Macron, la start-up nation rêve de son ministère","https://www.20minutes.fr/high-tech/3279023-20220428-numerique-reelection-macron-start-up-nation-reve-propre-ministere"
"False","True","Les raisons les plus WTF qui ont mené à l’annulation de 20.594 suffrages","https://www.20minutes.fr/elections/3279335-20220428-presidentielle-2022-raisons-plus-wtf-mene-annulation-20594-suffrages"
"False","True","Quel avenir pour Eric Zemmour et son parti Reconquête ?","https://www.20minutes.fr/politique/3278659-20220428-legislatives-2022-rejete-rn-eric-zemmour-paie-strategie-radicalite"
"False","True","Une nouvelle plainte pour viol déposée contre PPDA","https://www.20minutes.fr/justice/3279299-20220428-violences-sexuelles-nouvelle-plainte-viol-deposee-contre-ppda"
"False","True","La dermatillomanie, ce TOC méconnu qui abîme le visage","https://www.20minutes.fr/societe/3264107-20220428-sante-mentale-dermatillomanie-toc-meconnu-consiste-arracher-peau-pendant-heures"
"False","True","Ça revient et ça s’en va… Le résumé de l’épisode 11 de « Top Chef »","https://www.20minutes.fr/arts-stars/television/3278907-20220428-top-chef-ca-revient-ca-va-resume-episode-11"
"False","True","24 heures en images","https://www.20minutes.fr/diaporama/diaporama-15316-images-dixieme-titre-champion-france-psg-emmanuel-macron-reelu-president-chute-julian-alaphilippe"
"False","True","A voté","https://www.20minutes.fr/diaporama/diaporama-15315-presidentielle-2022-images-emmanuel-macron-marine-pen-vote"
"False","True","Le FCN aux deux visages, la finale de Coupe et Kita dans « Sans Contrôle »","https://www.20minutes.fr/sport/3278215-20220426-controle-fc-nantes-renversant-contre-bordeaux-finale-coupe-propos-kita-menu-podcast"
"False","True","Le bon point pris contre le PSG et la course à l’Europe dans « 100 % Lens »","https://www.20minutes.fr/sport/3277319-20220425-100-lens-bon-point-pris-contre-psg-course-europe-menu-podcast"
"False","True","Le succès contre Strasbourg et la fronde des supporters dans « 100% Lille »","https://www.20minutes.fr/sport/3277303-20220425-100-lille-victoire-face-strasbourg-fronde-supporters-menu-podcast"
"False","True","De nouvelles règles après le scandale des corps donnés à la science","https://www.20minutes.fr/faits_divers/3279671-20220428-affaire-centre-dons-corps-science-nouvelles-regles-apres-scandale-paris-descartes"
"False","True","Les livraisons d’armes à Kiev « menacent la sécurité » européenne, selon Moscou","https://www.20minutes.fr/monde/3279691-20220428-guerre-ukraine-livraisons-armes-kiev-menacent-securite-europeenne-selon-kremlin"
"False","True","Moderna souhaite vacciner les moins de 6 ans","https://www.20minutes.fr/monde/3279635-20220428-covid-19-moderna-demande-autorisation-vaccin-moins-6-ans-etats-unis"
"False","True","L’Europe « à la carte », est-ce « la fin de l’UE », comme le dit Jadot ?","https://www.20minutes.fr/elections/3278627-20220428-legislatives-2022-europe-carte-fin-ue-comme-dit-yannick-jadot"
