"premium","picture","title","url"
"False","True","""On veut des réponses"": les parents de Tyler, 3 ans et infecté à la bactérie E.coli, portent plainte contre Buitoni","https://www.bfmtv.com/police-justice/on-veut-des-reponses-les-parents-de-tyler-3-ans-et-infecte-a-la-bacterie-e-coli-portent-plainte-contre-buitoni_AV-202205110051.html"
"False","False","E. coli dans des pizzas Buitoni: 56 cas de syndrome hémolytique et urémique identifiés, dont deux…","https://www.bfmtv.com/sante/e-coli-dans-des-pizzas-buitoni-56-cas-de-syndrome-hemolytique-et-uremique-identifies-dont-deux-mortels_AN-202205100637.html"
"False","True","Ce que l'on sait de la violente agression au couteau devant un collège de Marseille","https://www.bfmtv.com/police-justice/ce-que-l-on-sait-de-la-violente-agression-au-couteau-devant-un-college-de-marseille_AN-202205110151.html"
"False","False","Marseille: un homme poignardé à la gorge devant un collège, un individu interpellé","https://www.bfmtv.com/marseille/marseille-un-homme-agresse-au-couteau-a-proximite-d-un-college-un-individu-interpelle_AN-202205100610.html"
"False","True","EN DIRECT - Jean Castex organise son pot de départ ce soir à Matignon","https://www.bfmtv.com/politique/elections/legislatives/en-direct-dernier-conseil-des-ministres-de-castex-presentation-des-candidats-rn-suivez-l-actualite-politique_LN-202205110057.html"
"False","True","""Mélenchon peut transformer l'Assemblée en ZAD"": Marine Le Pen étrille l'union de la gauche","https://www.bfmtv.com/politique/elections/legislatives/melenchon-veut-transformer-l-assemblee-en-zad-marine-le-pen-etrille-l-union-de-la-gauche_AN-202205110179.html"
"False","True","Spécialités, philo, français, grand oral... Le calendrier complet des épreuves du bac 2022","https://www.bfmtv.com/societe/specialites-philo-francais-grand-oral-le-calendrier-complet-des-epreuves-du-bac-2022_AN-202205100330.html"
"False","True","Coup d'envoi du bac 2022 ce mercredi avec les épreuves de spécialité","https://www.bfmtv.com/societe/education/coup-d-envoi-du-bac-2022-ce-mercredi-avec-les-epreuves-de-specialite_AD-202205110022.html"
"False","True","Bac 2022: quels sujets possibles pour les épreuves de spécialité?","https://www.bfmtv.com/societe/bac-2022-quels-sujets-possibles-pour-les-epreuves-de-specialite_AN-202205100423.html"
"False","False","TOUT COMPRENDRE - Bac 2022: comment vont se dérouler les épreuves de spécialité","https://www.bfmtv.com/societe/education/tout-comprendre-bac-2022-comment-vont-se-derouler-les-epreuves-de-specialite_AN-202205090012.html"
"False","True","Pourquoi le prix du café va augmenter dans les bars et à la machine en entreprise","https://www.bfmtv.com/economie/pourquoi-prix-du-cafe-va-augmenter-dans-les-bars-et-a-la-machine-en-entreprise_AN-202205110028.html"
"False","True","Jusqu'à 31°C: ce mercredi sera la journée la plus chaude de la semaine","https://www.bfmtv.com/meteo/jusqu-a-31deg-c-ce-mercredi-sera-la-journee-la-plus-chaude-de-la-semaine_AD-202205110068.html"
"False","True","Allergies: après les pollens de bouleau, les pollens de graminées sont de retour","https://www.bfmtv.com/sante/allergies-apres-les-pollens-de-bouleau-les-pollens-de-graminees-sont-de-retour_AN-202205110227.html"
"False","True","EN DIRECT - Guerre en Ukraine: l'armée russe recule à Kharkiv","https://www.bfmtv.com/international/guerre-en-ukraine-washington-prevoit-une-extension-du-conflit-kiev-insiste-pour-entrer-dans-l-ue_LN-202205110019.html"
"False","True","Entre la République McKinsey et la République Traoré, j'appelle les Français à choisir la République française. Jordan Bardella","https://www.bfmtv.com/politique/elections/legislatives/legislatives-jordan-bardella-renvoie-dos-a-dos-la-republique-mc-kinsey-et-la-republique-traore_AV-202205110221.html"
"False","True","Guerre en Ukraine: un professeur d'université donne des cours depuis les tranchées","https://www.bfmtv.com/international/guerre-en-ukraine-un-professeur-d-universite-donne-des-cours-depuis-les-tranchees_AV-202205110023.html"
"False","True","""Un roman d'espionnage"": Maria Alyokhina, des Pussy Riot, s’est enfuie de Russie en se…","https://www.bfmtv.com/international/asie/russie/un-roman-d-espionnage-maria-alyokhina-des-pussy-riot-s-est-enfuie-de-russie-en-se-deguisant-en-livreuse_AN-202205110017.html"
"False","True","""Justice, justice!"": à Kaboul, des femmes manifestent contre le voile intégral","https://www.bfmtv.com/international/moyen-orient/afghanistan/justice-justice-a-kaboul-des-femmes-manifestent-contre-le-voile-integral_AD-202205110018.html"
"False","True","""Je vais très bien"": Florent Pagny, atteint d'un cancer du poumon, donne de ses nouvelles…","https://www.bfmtv.com/people/musique/je-vais-tres-bien-florent-pagny-atteint-d-un-cancer-du-poumon-donne-de-ses-nouvelles-sur-instagram_AN-202205100626.html"
"False","True","Pourquoi Nice a dû attendre 20 ans pour avoir son Ikea?","https://www.bfmtv.com/economie/pourquoi-nice-a-du-attendre-20-ans-pour-avoir-son-ikea_AV-202205110025.html"
"False","True","Eurovision 2022: découvrez quels pays se sont qualifiés lors de la première demi-finale","https://www.bfmtv.com/people/musique/eurovision-2022-decouvrez-quels-pays-se-sont-qualifies-lors-de-la-premiere-demi-finale_AN-202205100697.html"
"False","True","Jeux vidéo: La réponse de la FIFA au changement de nom du jeu vidéo ""FIFA"" en ""EA Sports…","https://rmcsport.bfmtv.com/e-sport/jeux-video-la-reponse-de-la-fifa-au-changement-de-nom-du-jeu-video-fifa-en-ea-sports-fc_AV-202205110147.html"
"False","True","Euromillions: un Britannique remporte le jackpot de 215,8 millions d'euros, record au…","https://www.bfmtv.com/loto/euromillions-un-britannique-remporte-le-jackpot-de-215-8-millions-d-euros-record-au-royaume-uni_AN-202205110016.html"
"False","True","Spécialités, philo, français, grand oral... Le calendrier complet des épreuves du bac 2022","https://www.bfmtv.com/societe/specialites-philo-francais-grand-oral-le-calendrier-complet-des-epreuves-du-bac-2022_AN-202205100330.html"
"False","True","Pourquoi le prix du café va augmenter dans les bars et à la machine en entreprise","https://www.bfmtv.com/economie/pourquoi-prix-du-cafe-va-augmenter-dans-les-bars-et-a-la-machine-en-entreprise_AN-202205110028.html"
"False","True","Ces pays de rêve où l'on peut se rendre sans passeport","https://www.bfmtv.com/economie/ces-pays-de-reves-ou-l-on-peut-se-rendre-sans-passeport_AV-202205100344.html"
"False","True","Santé: que faire en cas de contact avec des chenilles processionnaires?","https://www.bfmtv.com/sante/sante-que-faire-en-cas-de-contact-avec-des-chenilles-processionnaires_AN-202205100575.html"
"False","True","Eurovision 2022: découvrez quels pays se sont qualifiés lors de la première demi-finale","https://www.bfmtv.com/people/musique/eurovision-2022-decouvrez-quels-pays-se-sont-qualifies-lors-de-la-premiere-demi-finale_AN-202205100697.html"
"False","True","Philip Morris veut racheter le spécialiste des alternatives à la cigarette Swedish Match","https://www.bfmtv.com/economie/entreprises/philip-morris-veut-racheter-le-specialiste-des-alternatives-a-la-cigarette-swedish-match_AD-202205110231.html"
"False","True","Inflation: La Banque de France anticipe un retour à 2% en 2024","https://www.bfmtv.com/economie/inflation-la-banque-de-france-anticipe-un-retour-a-2-en-2024_AN-202205110122.html"
"False","True","La Banque de France table sur une croissance ""modérée"" de 0,2% au 2e trimestre","https://www.bfmtv.com/economie/la-banque-de-france-table-sur-une-croissance-moderee-de-0-2-au-2e-trimestre_AD-202205110105.html"
"False","True","Russie, intégration de Bombardier…Alstom plonge dans le rouge en 2021/2022","https://www.bfmtv.com/economie/entreprises/russie-integration-de-bombardier-alstom-plonge-dans-le-rouge-en-2021-2022_AD-202205110094.html"
"False","True","La crise ukrainienne pèse déjà sur l'activité des entreprises française","https://www.bfmtv.com/economie/entreprises/la-crise-ukrainienne-pese-deja-sur-l-activite-des-entreprises-francaise_AV-202205110076.html"
"False","False","Candidats","https://www.bfmtv.com/politique/elections/presidentielle/election-presidentielle-2022-qui-sont-les-candidats-declares_GN-202201100009.html"
"False","False","Sondages","https://www.bfmtv.com/politique/elections/presidentielle/tous-les-sondages-de-l-election-presidentielle-2022_GN-202110220314.html"
"False","True","""Agir, agir, agir"": avec une anaphore, Macron place l'action au coeur de son discours d'investiture","https://www.bfmtv.com/politique/agir-agir-agir-avec-une-anaphore-macron-place-l-action-au-coeur-de-son-discours-d-investiture_AV-202205070150.html"
"False","True","Cérémonie d'investiture: Laurent Fabius se trompe sur le nombre de voix recueillies par Emmanuel Macron","https://www.bfmtv.com/politique/ceremonie-d-investiture-laurent-fabius-se-trompe-sur-le-nombre-de-voix-recueillies-par-emmanuel-macron_AV-202205070116.html"
"False","True","Sarkozy, Hollande, Parker, des élèves... Les invités présents à la cérémonie d'investiture de Macron","https://www.bfmtv.com/politique/sarkozy-hollande-parker-des-eleves-les-invites-presents-a-la-ceremonie-d-investiture-de-macron_AV-202205070110.html"
"False","True","Macron fait le ""serment de léguer une planète plus vivable"" et ""une France plus forte"" lors de son investiture","https://www.bfmtv.com/politique/macron-fait-le-serment-de-leguer-une-planete-plus-vivable-et-une-france-plus-forte-lors-de-son-investiture_AN-202205070106.html"
"False","True","Revivez la cérémonie d'investiture d'Emmanuel Macron","https://www.bfmtv.com/politique/elections/presidentielle/en-direct-investiture-d-emmanuel-macron-suivez-la-ceremonie-et-les-preparatifs_LN-202205070023.html"
"False","True","Ligue des champions: le nouveau format approuvé par l'UEFA, avec une bonne nouvelle pour la France","https://rmcsport.bfmtv.com/football/ligue-des-champions/ligue-des-champions-le-nouveau-format-de-la-competition-officiellement-approuve-par-l-uefa_AN-202205100424.html"
"False","True","Jeux vidéo: petite révolution, FIFA change de nom et s'appellera désormais ""EA Sports FC""","https://rmcsport.bfmtv.com/e-sport/jeux-video-petite-revolution-fifa-change-de-nom-et-s-appellera-desormais-ea-sports-fc_AV-202205100564.html"
"False","True","Mercato: Manchester City officialise un accord pour Haaland, premier énorme transfert de l'été","https://rmcsport.bfmtv.com/football/transferts/mercato-manchester-city-officialise-un-accord-pour-haaland-premier-enorme-transfert-de-l-ete_AN-202205100449.html"
"False","True","Nantes: trois proches collaborateurs de Kita placés en garde à vue","https://rmcsport.bfmtv.com/football/ligue-1/nantes-trois-proches-collaborateurs-de-kita-places-en-garde-a-vue_AV-202205100696.html"
"False","True","Roland-Garros: Tsonga et Simon obtiennent leur invitation pour le tableau principal, mais pas Herbert","https://rmcsport.bfmtv.com/tennis/roland-garros-tsonga-et-simon-obtiennent-leur-invitation-pour-le-tableau-principal-mais-pas-herbert_AV-202205100539.html"
"False","True","PMA pour toutes : 9 mois après, l'attente se prolonge pour les femmes","https://www.bfmtv.com/societe/pma-pour-toutes-9-mois-apres-l-attente-se-prolonge-pour-les-femmes_GN-202205020004.html"
"False","True","Carte Présidentielle : Pour qui ont voté les communes où Mélenchon était arrivé en tête au premier…","https://www.bfmtv.com/politique/elections/presidentielle/carte-presidentielle-pour-qui-ont-vote-les-communes-ou-melenchon-etait-arrive-en-tete-au-premier-tour_GN-202204240478.html"
"False","True","Carte Résultats Présidentielle : La France de l'abstention au second tour","https://www.bfmtv.com/politique/elections/presidentielle/presidentielle-la-france-de-l-abstention-au-second-tour_GN-202204240424.html"
"False","True","Carte Résultats Présidentielle 2022 : La France du vote Le Pen au second tour","https://www.bfmtv.com/politique/elections/presidentielle/carte-resultats-presidentielle-2022-la-france-du-vote-le-pen-au-second-tour_GN-202204240422.html"
"False","True","Carte Résultats Présidentielle 2022 : La France du vote Macron au second tour","https://www.bfmtv.com/politique/elections/presidentielle/carte-resultats-presidentielle-2022-la-france-du-vote-macron-au-second-tour_GN-202204240398.html"
