"premium","picture","title","url"
"False","True","Retrouvez la carte des résultats du premier tour des législatives, circonscription par circonscription","https://www.lemonde.fr/les-decodeurs/article/2022/06/12/carte-des-resultats-des-legislatives-les-qualifies-circonscription-par-circonscription_6129935_4355770.html"
"True","True","Le premier tour des législatives consacre le duel entre la coalition présidentielle et l’union de la gauche","https://www.lemonde.fr/politique/article/2022/06/12/legislatives-2022-le-premier-tour-consacre-le-duel-entre-la-coalition-presidentielle-et-l-union-de-la-gauche_6129984_823448.html"
"False","True","Eric Zemmour éliminé dans le Var dès le premier tour des législatives","https://www.lemonde.fr/politique/article/2022/06/12/eric-zemmour-elimine-dans-le-var-des-le-premier-tour-des-legislatives_6129994_823448.html"
"False","False","Marine Le Pen qualifiée haut la main pour le second tour des élections législatives dans le Pas-de-Calais","https://www.lemonde.fr/politique/article/2022/06/12/marine-le-pen-qualifiee-haut-la-main-pour-le-second-tour-des-elections-legislatives-dans-le-pas-de-calais_6130001_823448.html"
"True","False","La Nupes se déclare en tête et considère Macron « défait » au terme du premier tour des élections législatives","https://www.lemonde.fr/elections-legislatives-2022/article/2022/06/12/legislatives-2022-la-nupes-se-declare-en-tete-et-considere-macron-defait_6129998_6104324.html"
"False","False","La première ministre, Elisabeth Borne, en tête dans le Calvados lors des législatives 2022","https://www.lemonde.fr/politique/article/2022/06/12/elisabeth-borne-en-tete-dans-le-calvados-lors-des-legislatives-2022_6129973_823448.html"
"False","True","L’ex-ministre de l’éducation Jean-Michel Blanquer éliminé dès le premier tour des législatives 2022","https://www.lemonde.fr/politique/article/2022/06/12/jean-michel-blanquer-elimine-des-le-premier-tour-des-elections-legislatives_6129976_823448.html"
"True","True","Sur les plages du Var, un dimanche en famille et loin des urnes","https://www.lemonde.fr/politique/article/2022/06/12/elections-legislatives-2022-sur-les-plages-du-var-un-dimanche-en-famille-et-loin-des-urnes_6129943_823448.html"
"False","True","Amélie de Montchalin en difficulté pour le second tour dans l’Essonne","https://www.lemonde.fr/politique/article/2022/06/12/amelie-de-montchalin-qualifiee-pour-le-second-tour-des-legislatives-2022-mais-en-difficulte-dans-l-essonne_6129997_823448.html"
"False","True","Brigitte Bourguignon se qualifie de justesse dans le Pas-de-Calais lors du premier tour des élections législatives","https://www.lemonde.fr/elections-legislatives-2022/article/2022/06/12/brigitte-bourguignon-se-qualifie-de-justesse-dans-le-pas-de-calais-lors-du-premier-tour-des-elections-legislatives_6130004_6104324.html"
"False","True","Damien Abad arrive en tête du premier tour des élections législatives dans la 5ᵉ circonscription de l’Ain","https://www.lemonde.fr/politique/article/2022/06/12/damien-abad-arrive-en-tete-du-premier-tour-des-elections-legislatives-dans-la-5e-circonscription-de-l-ain_6129989_823448.html"
"False","True","Les résultats des ministres du gouvernement d’Elisabeth Borne au premier tour des législatives","https://www.lemonde.fr/politique/article/2022/06/12/legislatives-2022-les-resultats-des-ministres-du-gouvernement-d-elisabeth-borne_6129979_823448.html"
"True","True","Démobilisés, les électeurs boudent les urnes : récit du premier tour des législatives","https://www.lemonde.fr/politique/article/2022/06/12/legislatives-2022-demobilises-les-electeurs-boudent-les-urnes_6129946_823448.html"
"True","False","L’arméee russe fait sauter un pont près de Sievierodonetsk ; Moscou engage ses bataillons de réserve pour s’emparer de la ville","https://www.lemonde.fr/international/live/2022/06/12/guerre-en-ukraine-en-direct-la-russie-a-detruit-un-pont-pres-de-sievierodonetsk_6129889_3210.html"
"False","False","La France se prépare à une vague de chaleur très précoce à partir de mardi","https://www.lemonde.fr/planete/article/2022/06/12/la-france-se-prepare-a-une-vague-de-chaleur-tres-precoce-a-partir-de-mardi_6129925_3244.html"
"True","False","« Quand on t’envoie des émojis, ça fait deux carrés vides sur l’écran » : le clan des « 9 touches »","https://www.lemonde.fr/m-perso/article/2022/06/10/quand-tu-veux-envoyer-un-message-a-ta-mere-pour-dire-que-t-arrives-dans-un-quart-d-heure-le-temps-de-le-taper-t-es-deja-plus-qu-a-cinq-minutes-le-clan-des-9-touches_6129658_4497916.html"
"False","False","Etats-Unis : des sénateurs républicains et démocrates trouvent un accord minimaliste sur les armes à feu","https://www.lemonde.fr/international/article/2022/06/12/etats-unis-des-senateurs-republicains-et-democrates-trouvent-un-accord-minimaliste-sur-les-armes-a-feu_6129939_3210.html"
"True","False","A Reims, le plus ancien atelier de vitraux retrouve la lumière","https://www.lemonde.fr/m-styles/article/2022/06/11/a-reims-l-atelier-simon-marq-voue-un-culte-a-la-lumiere_6129862_4497319.html"
"True","False","Travail : « Des contraintes plus douces et moins visibles que par le passé »","https://www.lemonde.fr/idees/article/2022/06/10/lucie-goussard-des-contraintes-plus-douces-et-moins-visibles-que-par-le-passe_6129707_3232.html"
"True","False","Paris et Canberra veulent « réinitialiser » leurs relations stratégiques","https://www.lemonde.fr/international/article/2022/06/12/paris-et-canberra-veulent-reinitialiser-leurs-relations-strategiques_6129951_3210.html"
"True","False","A New York, le MoMA réunit toutes les œuvres présentes dans « L’Atelier rouge » de Matisse","https://www.lemonde.fr/m-le-mag/article/2022/06/12/a-new-york-le-moma-reunit-toutes-les-uvres-presentes-dans-l-atelier-rouge-de-matisse_6129888_4500055.html"
"True","True","« Un MBA à Stanford, c’est un ascenseur social à 220 000 euros »","https://www.lemonde.fr/campus/article/2022/06/11/un-mba-a-stanford-c-est-un-ascenseur-social-a-220-000-euros_6129836_4401467.html"
"True","True","« Le Deuxième Monde » de Canal+, dès 1997 : le pionnier français du métavers","https://www.lemonde.fr/pixels/visuel/2022/06/10/le-deuxieme-monde-de-canal-des-1997-le-pionnier-francais-du-metavers_6129767_4408996.html"
"True","True","Tours à moitié vides, parvis déserté, restaurants sans clients... La crise existentielle du quartier de La Défense","https://www.lemonde.fr/m-perso/article/2022/06/11/qui-veut-encore-travailler-a-la-defense_6129788_4497916.html"
"False","False","Guerre en Ukraine : la clarification nécessaire de l’Elysée","https://www.lemonde.fr/idees/article/2022/06/11/guerre-en-ukraine-la-clarification-necessaire-de-l-elysee_6129835_3232.html"
"True","True","« Le chaos logistique mondial n’est pas terminé que Target, l’un des premiers distributeurs américains, ne sait déjà plus quoi faire de ses stocks »","https://www.lemonde.fr/economie/article/2022/06/10/le-chaos-logistique-mondial-n-est-pas-termine-que-target-l-un-des-premiers-distributeurs-americains-ne-sait-deja-plus-quoi-faire-de-ses-stocks_6129685_3234.html"
"True","False","Quand la gauche lutte pour l’émancipation en France mais cautionne l’oppression ailleurs","https://www.lemonde.fr/idees/article/2022/06/09/legislatives-quand-la-gauche-lutte-pour-l-emancipation-en-france-mais-cautionne-l-oppression-ailleurs_6129593_3232.html"
