"premium","picture","title","url"
"True","False","Le jugement consacre la liberté d’informer","https://www.mediapart.fr/journal/france/060722/perquisition-mediapart-la-justice-condamne-l-etat"
"True","False","Les points clés de la décision du tribunal","https://www.mediapart.fr/journal/france/060722/perquisition-mediapart-les-points-cles-d-un-jugement-crucial-pour-la-liberte-d-informer"
"True","False","L’affaire Macron-Benalla","https://www.mediapart.fr/journal/france/dossier/l-affaire-macron-benalla"
"True","True","À l’Assemblée, Élisabeth Borne invente le « compromis » sans concession","https://www.mediapart.fr/journal/france/060722/l-assemblee-elisabeth-borne-invente-le-compromis-sans-concession"
"True","False","Face à la première ministre, LFI et le RN divergent sur la stratégie","https://www.mediapart.fr/journal/france/060722/face-la-premiere-ministre-lfi-et-le-rn-divergent-sur-la-strategie"
"True","False","Au ministère de la santé, un urgentiste qui rêvait de politique","https://www.mediapart.fr/journal/france/060722/au-ministere-de-la-sante-un-urgentiste-qui-revait-de-politique"
"True","False","L’Europe repeint en vert le gaz fossile et le nucléaire","https://www.mediapart.fr/journal/international/060722/l-europe-repeint-en-vert-le-gaz-fossile-et-le-nucleaire"
"True","False","Lâché par ses ministres pour un mensonge de trop, Boris Johnson tiendra-t-il l’été ?","https://www.mediapart.fr/journal/international/060722/lache-par-ses-ministres-pour-un-mensonge-de-trop-boris-johnson-tiendra-t-il-l-ete"
"True","True","Sarkozy-Kadhafi : des mises en examen dans l’opération Hannibal","https://www.mediapart.fr/journal/france/060722/sarkozy-kadhafi-des-mises-en-examen-pour-corruption-dans-loperation-hannibal"
"True","False","Blast, BHL et le Qatar : ce qu’a dit la justice","https://www.mediapart.fr/journal/france/060722/blast-bhl-et-le-qatar-ce-qu-dit-la-justice"
"True","False","L’avocat Emmanuel Pierrat sanctionné après des accusations de harcèlement","https://www.mediapart.fr/journal/france/060722/l-avocat-emmanuel-pierrat-sanctionne-apres-des-accusations-de-harcelement"
"True","True","Trafic d’antiquités : l’art du blanchiment","https://www.mediapart.fr/journal/france/060722/trafic-d-antiquites-l-art-du-blanchiment"
"True","True","Chez Havas, une remise en cause a minima","https://www.mediapart.fr/journal/economie/060722/violences-sexuelles-chez-havas-une-remise-en-cause-minima"
"True","False","Harcèlement sexuel et moral : un influent avocat renvoyé en correctionnelle","https://www.mediapart.fr/journal/france/060722/harcelement-sexuel-et-moral-un-influent-avocat-renvoye-en-correctionnelle"
"True","False","Le youtubeur Léo Grasset est visé par une plainte pour harcèlement sexuel","https://www.mediapart.fr/journal/france/050722/le-youtubeur-leo-grasset-est-vise-par-une-plainte-pour-harcelement-sexuel"
"True","True","« Ouvrez l’Élysée » : vos échanges avec Usul et Ostpolitik","https://www.mediapart.fr/journal/france/060722/ouvrez-l-elysee-vos-echanges-avec-usul-et-ostpolitik"
"True","False","Intérim : Renault dans le viseur de la justice","https://www.mediapart.fr/journal/economie/060722/interim-renault-dans-le-viseur-de-la-justice"
"True","False","Prison avec sursis et inéligibilité requises contre une élue du Grand Est","https://www.mediapart.fr/journal/france/060722/prison-avec-sursis-et-ineligibilite-requises-contre-une-elue-du-grand-est-pour-une-prise-illegale-d-intere"
"True","True","La lente agonie de la métallurgie ukrainienne","https://www.mediapart.fr/studio/portfolios/la-lente-agonie-de-la-metallurgie-ukrainienne"
"True","True","Usul. « Dédiabolisation » et « arc républicain » : cinq ans de confusion","https://www.mediapart.fr/journal/france/040722/usul-dediabolisation-et-arc-republicain-cinq-ans-de-confusion"
"True","True","Comment combattre l’enracinement du Rassemblement national","https://www.mediapart.fr/journal/france/030722/comment-combattre-l-enracinement-local-du-rassemblement-national"
"True","True","Viktor Orbán est-il de plus en plus isolé en Europe ?","https://www.mediapart.fr/journal/international/010722/viktor-orban-est-il-de-plus-en-plus-isole-en-europe"
"True","True","Guerre d’Algérie : la parole aux héritiers","https://www.mediapart.fr/journal/international/050722/guerre-d-algerie-la-parole-aux-heritiers"
"True","False","Dans les nouvelles archives de la raison d’État","https://www.mediapart.fr/studio/panoramique/de-gaulle-et-la-guerre-d-algerie-dans-les-nouvelles-archives-de-la-raison-d-etat"
"True","False","Histoire d’une disparition","https://www.mediapart.fr/journal/culture-idees/050722/slimane-asselah-la-verite-etouffee"
"True","False","« La France n’a jamais fait son tournant anticolonialiste »","https://www.mediapart.fr/journal/culture-idees/020722/l-historienne-malika-rahal-la-france-n-jamais-fait-son-tournant-anticolonialiste"
"True","True","Le niveau de diplôme des enfants d’immigrés progresse, malgré des inégalités persistantes","https://www.mediapart.fr/journal/france/050722/le-niveau-de-diplome-des-enfants-d-immigres-progresse-malgre-des-inegalites-persistantes"
"True","False","La véritable histoire d’Omar Elkhouli, tué par la police à la frontière italienne","https://www.mediapart.fr/journal/france/030722/la-veritable-histoire-d-omar-elkhouli-tue-par-un-tir-policier-la-frontiere-italienne"
"True","False","La justice recadre la préfecture du Calvados, coupable d’avoir mis un Soudanais en danger","https://www.mediapart.fr/journal/france/040722/la-justice-recadre-la-prefecture-du-calvados-coupable-d-avoir-mis-un-soudanais-en-danger"
"True","False","Le ministère de l’intérieur a tenté de bloquer l’asile d’un dissident camerounais","https://www.mediapart.fr/journal/international/020722/le-ministere-de-l-interieur-tente-de-bloquer-l-asile-d-un-dissident-camerounais"
"True","False","Chaos dans les aéroports : le symptôme d’une crise profonde","https://www.mediapart.fr/journal/economie/050722/chaos-dans-les-aeroports-le-symptome-d-une-crise-profonde"
"True","False","John Kenneth Galbraith, une pensée toujours neuve","https://www.mediapart.fr/journal/economie/050722/john-kenneth-galbraith-une-pensee-toujours-neuve"
"True","True","Près d’Hébron, Israël réduit des Palestiniens à vivre dans des grottes","https://www.mediapart.fr/journal/international/040722/pres-d-hebron-israel-reduit-des-palestiniens-vivre-dans-des-grottes"
"True","False","Enquête Abu Akleh : l’Autorité palestinienne fustige, la famille « atterrée »","https://www.mediapart.fr/journal/fil-dactualites/040722/enquete-abu-akleh-l-autorite-palestinienne-fustige-la-famille-atterree"
