"premium","picture","title","url"
"False","True","Orages en Corse : un mort et un blessé grave dans un camping","https://www.lefigaro.fr/meteo/orages-en-corse-un-mort-et-un-blesse-grave-dans-un-camping-20220818"
"False","False","Sécheresse : l'état des canalisations responsable de la fuite d'«un milliard de litres d'eau chaque année»","https://www.lefigaro.fr/conjoncture/secheresse-l-etat-des-canalisations-responsable-de-la-fuite-d-un-milliard-de-litres-d-eau-chaque-annee-20220818"
"False","False","Intempéries : de violents orages frappent la Loire et le nord-ouest, inondations à Marseille et dans le sud","https://www.lefigaro.fr/meteo/intemperies-de-violents-orages-de-grele-causent-des-degats-dans-la-loire-fortes-precipitations-dans-le-sud-20220817"
"False","False","REPORTAGE - Avec ces passionnés qui poursuivent les orages","https://www.lefigaro.fr/actualite-france/avec-ces-passionnes-qui-poursuivent-les-orages-20220817"
"False","True","Guerre en Ukraine: Guterres et Erdogan rencontrent Zelensky à Lviv","https://www.lefigaro.fr/international/guerre-en-ukraine-guterres-et-erdogan-rencontrent-zelensky-ce-jeudi-a-lviv-20220818"
"False","False","L’embarras de Moscou après une série de «sabotages» en Crimée attribués à Kiev","https://www.lefigaro.fr/international/l-embarras-de-moscou-apres-une-serie-de-sabotages-en-crimee-attribues-a-kiev-20220817"
"False","False","L'Ukraine menace de démanteler un pont reliant la Russie continentale à la Crimée","https://www.lefigaro.fr/international/l-ukraine-menace-de-demanteler-un-pont-reliant-la-russie-continentale-a-la-crimee-20220817"
"False","False","Guerre en Ukraine : «la reprise de la Crimée fait partie de l'objectif de guerre principal de Kiev»","https://www.lefigaro.fr/international/guerre-en-ukraine-la-reprise-de-la-crimee-fait-partie-de-l-objectif-de-guerre-principal-de-kiev-20220817"
"True","True","Rajeunir: les étonnantes découvertes de la médecine anti-âge","https://www.lefigaro.fr/sciences/rajeunir-les-etonnantes-decouvertesde-la-medecine-anti-age-20220816"
"True","True","Quand l’excès de sport finit par nuire à la santé","https://www.lefigaro.fr/sports/autres-sports/quand-l-exces-de-sport-finit-par-nuire-a-la-sante-20220817"
"False","False","DÉCRYPTAGE - Ultra-trail: ces sportifs passionnés qui repoussent leurs limites à l’extrême","https://www.lefigaro.fr/sports/autres-sports/ultra-trail-ces-sportifs-passionnes-qui-repoussent-leurs-limites-a-l-extreme-20220817"
"False","True","Allocation de rentrée scolaire : le gouvernement exclut l'encadrement de son utilisation proposé par LR","https://www.lefigaro.fr/conjoncture/allocation-de-rentree-scolaire-le-gouvernement-exclut-l-encadrement-de-son-utilisation-propose-par-lr-20220818"
"False","True","Un syndicat alerte sur la «fatigue» des pilotes d'Air France avec un «risque sur la sécurité des vols»","https://www.lefigaro.fr/societes/un-syndicat-alerte-sur-la-fatigue-des-pilotes-d-air-france-avec-un-risque-sur-la-securite-des-vols-20220818"
"True","True","Derrière le nouvel imbroglio judiciaire trumpien, la guerre civile américaine","https://www.lefigaro.fr/vox/monde/derriere-le-nouvel-imbroglio-judiciaire-trumpien-la-guerre-civile-americaine-20220817"
"False","True","Crise des opiacés aux États-Unis : Walmart, Walgreens et CVS condamnés à verser 650,6 millions de dollars","https://www.lefigaro.fr/flash-eco/crise-des-opiaces-aux-etats-unis-walmart-walgreens-et-cvs-condamnes-a-verser-650-6-millions-de-dollars-20220818"
"True","True","Le torchon brûle à l'office de tourisme de Courchevel","https://www.lefigaro.fr/voyages/montagne/le-torchon-brule-a-l-office-de-tourisme-de-courchevel-20220817"
"False","True","Cheminots, postiers, dockers : le Royaume-Uni confronté à des grèves liées à l'inflation","https://www.lefigaro.fr/social/cheminots-postiers-dockers-le-royaume-uni-confronte-a-des-greves-liees-a-l-inflation-20220818"
